Symbol,Engine,Name
DEXUSEU,fred,U.S. / Euro Foreign Exchange Rate
CPIAUCSL,fred,Consumer Price Index for All Urban Consumers: All Items
INDPRO,fred,Industrial Production Index
DGS10,fred,10-Year Treasury Constant Maturity Rate
UNRATE,fred,Civilian Unemployment Rate
PAYEMS,fred,All Employees: Total Nonfarm Payrolls
IC4WSA,fred,4-Week Moving Average of Initial Claims
DJIA,fred,Dow Jones Industrial Average
T10Y3M,fred,10-Year Treasury Constant Maturity Minus 3-Month Treasury Constant Maturity
DCOILBRENTEU,fred,Crude Oil Prices: Brent - Europe; $ per Barrel
DCOILWTICO,fred,Crude Oil Prices: West Texas Intermediate (WTI)
IPG211111CN,fred,Industrial Production: Mining: Crude oil
USALFTOTMDSMEI,fred,Civilian Labor Force: All Persons in the United States
DFF,fred,Effective Federal Funds Rate
IBB,yahoo,iShares Nasdaq Biotechnology Index Fund
GLD,yahoo,SPDR Gold Trust
GOOGL,yahoo,Alphabet Inc
FB,yahoo,Facebook Inc
NFLX,yahoo,Netflix
AMZN,yahoo,Amazon
